iter	Passed	Remaining
0	443	443149
1	591	294981
2	643	213918
3	679	169171
4	709	141100
5	740	122641
6	797	113134
7	854	105968
8	905	99701
9	957	94811
10	1026	92286
11	1060	87301
12	1103	83785
13	1140	80319
14	1159	76122
15	1181	72660
16	1201	69503
17	1221	66647
18	1239	64002
19	1259	61700
20	1279	59640
21	1299	57751
22	1317	55969
23	1335	54313
24	1357	52929
25	1374	51482
26	1393	50225
27	1412	49032
28	1429	47852
29	1445	46742
30	1462	45719
31	1480	44771
32	1498	43904
33	1514	43028
34	1530	42207
35	1547	41451
36	1563	40699
37	1579	39997
38	1598	39400
39	1631	39165
40	1650	38595
41	1678	38277
42	1697	37779
43	1721	37407
44	1741	36950
45	1759	36491
46	1777	36031
47	1794	35584
48	1816	35262
49	1834	34849
50	1851	34458
51	1869	34088
52	1888	33737
53	1905	33385
54	1924	33074
55	1945	32790
56	1968	32562
57	1987	32282
58	2006	31994
59	2025	31728
60	2044	31464
61	2064	31235
62	2083	30984
63	2100	30725
64	2120	30503
65	2141	30308
66	2162	30110
67	2178	29857
68	2195	29618
69	2213	29408
70	2230	29186
71	2247	28964
72	2263	28739
73	2280	28533
74	2299	28358
75	2315	28155
76	2333	27972
77	2349	27773
78	2368	27609
79	2396	27561
80	2414	27392
81	2432	27230
82	2448	27050
83	2464	26870
84	2480	26696
85	2496	26529
86	2512	26361
87	2531	26235
88	2564	26249
89	2582	26116
90	2601	25989
91	2629	25950
92	2648	25832
93	2666	25700
94	2682	25555
95	2698	25411
96	2714	25265
97	2730	25129
98	2746	24999
99	2764	24879
100	2781	24754
101	2802	24677
102	2819	24556
103	2836	24433
104	2851	24303
105	2869	24199
106	2884	24077
107	2899	23945
108	2913	23813
109	2934	23742
110	2950	23631
111	2967	23525
112	2984	23430
113	3001	23325
114	3017	23221
115	3033	23117
116	3048	23010
117	3067	22924
118	3086	22847
119	3102	22754
120	3119	22662
121	3135	22566
122	3151	22469
123	3168	22382
124	3186	22304
125	3203	22218
126	3219	22131
127	3235	22044
128	3251	21954
129	3274	21910
130	3302	21910
131	3320	21834
132	3340	21776
133	3356	21694
134	3377	21641
135	3403	21622
136	3420	21548
137	3437	21474
138	3454	21394
139	3471	21324
140	3487	21246
141	3503	21170
142	3522	21109
143	3538	21033
144	3553	20955
145	3569	20880
146	3589	20826
147	3615	20815
148	3632	20748
149	3651	20689
150	3667	20619
151	3683	20550
152	3699	20481
153	3718	20425
154	3738	20380
155	3754	20312
156	3771	20248
157	3788	20186
158	3803	20119
159	3819	20052
160	3837	19998
161	3854	19937
162	3871	19878
163	3887	19815
164	3903	19755
165	3919	19694
166	3937	19641
167	3953	19580
168	3970	19522
169	3987	19467
170	4003	19408
171	4019	19351
172	4037	19299
173	4053	19243
174	4069	19184
175	4085	19129
176	4102	19077
177	4122	19038
178	4139	18987
179	4155	18930
180	4173	18882
181	4190	18832
182	4206	18778
183	4222	18724
184	4239	18677
